ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
3485,international,IE_EINN_UK_EGPH,14824,SHANNON airport - EDINBURGH airport,IE_EINN,IE,EINN,SHANNON airport,UK_EGPH,UK,EGPH,EDINBURGH airport
3486,international,IT_LIRN_LT_EYKA,14809,"NAPOLI/CAPODICHINO airport - KAUNAS INTL airport",IT_LIRN,IT,LIRN,"NAPOLI/CAPODICHINO airport",LT_EYKA,LT,EYKA,KAUNAS INTL airport
3487,domestic,UK_EGCN_UK_EGJJ,14808,DONCASTER SHEFFIELD airport - JERSEY airport,UK_EGCN,UK,EGCN,DONCASTER SHEFFIELD airport,UK_EGJJ,UK,EGJJ,JERSEY airport
3488,international,IE_EIKN_UK_EGBB,14805,IRELAND WEST airport - BIRMINGHAM airport,IE_EIKN,IE,EIKN,IRELAND WEST airport,UK_EGBB,UK,EGBB,BIRMINGHAM airport
3489,international,IT_LIEA_UK_EGGW,14803,ALGHERO/FERTILIA airport - LONDON LUTON airport,IT_LIEA,IT,LIEA,ALGHERO/FERTILIA airport,UK_EGGW,UK,EGGW,LONDON LUTON airport
3490,international,ES_LEGE_LV_EVRA,14768,GIRONA airport - RIGA airport,ES_LEGE,ES,LEGE,GIRONA airport,LV_EVRA,LV,EVRA,RIGA airport
3491,international,BE_EBLG_ES_LEAL,14753,LIEGE airport - ALICANTE airport,BE_EBLG,BE,EBLG,LIEGE airport,ES_LEAL,ES,LEAL,ALICANTE airport
3492,domestic,HR_LDZA_HR_LDZD,14710,ZAGREB/FRANJO TUDJMAN airport - ZADAR/ZEMUNIK airport,HR_LDZA,HR,LDZA,ZAGREB/FRANJO TUDJMAN airport,HR_LDZD,HR,LDZD,ZADAR/ZEMUNIK airport
3493,international,EL_LGSR_FR_LFRS,14706,SANTORINI airport - NANTES ATLANTIQUE airport,EL_LGSR,EL,LGSR,SANTORINI airport,FR_LFRS,FR,LFRS,"NANTES ATLANTIQUE airport"
3494,international,DE_EDDK_RO_LRIA,14697,KOELN/BONN airport - IASI airport,DE_EDDK,DE,EDDK,KOELN/BONN airport,RO_LRIA,RO,LRIA,IASI airport
3495,international,IE_EIDW_UK_EGCN,14693,DUBLIN airport - DONCASTER SHEFFIELD airport,IE_EIDW,IE,EIDW,DUBLIN airport,UK_EGCN,UK,EGCN,DONCASTER SHEFFIELD airport
