ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
888,international,ES_GCRR_UK_EGSS,250545,LANZAROTE airport - LONDON STANSTED airport,ES_GCRR,ES,GCRR,LANZAROTE airport,UK_EGSS,UK,EGSS,LONDON STANSTED airport
889,international,CH_LFSB_DE_EDDH,250066,BALE-MULHOUSE airport - HAMBURG airport,CH_LFSB,CH,LFSB,BALE-MULHOUSE airport,DE_EDDH,DE,EDDH,HAMBURG airport
890,international,CH_LFSB_HU_LHBP,250013,BALE-MULHOUSE airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,CH_LFSB,CH,LFSB,BALE-MULHOUSE airport,HU_LHBP,HU,LHBP,BUDAPEST/LISZT FERENC INTERNATIONAL airport
891,domestic,ES_LEMG_ES_LEPA,249783,MALAGA/COSTA DEL SOL airport - PALMA DE MALLORCA airport,ES_LEMG,ES,LEMG,MALAGA/COSTA DEL SOL airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport
892,international,DE_EDDF_FR_LFML,249734,FRANKFURT/MAIN airport - MARSEILLE-PROVENCE airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,FR_LFML,FR,LFML,MARSEILLE-PROVENCE airport
893,domestic,DE_EDDF_DE_EDDN,249465,FRANKFURT/MAIN airport - NUERNBERG airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,DE_EDDN,DE,EDDN,NUERNBERG airport
894,international,DK_EKCH_ES_LEAL,249304,KOBENHAVN/KASTRUP airport - ALICANTE airport,DK_EKCH,DK,EKCH,KOBENHAVN/KASTRUP airport,ES_LEAL,ES,LEAL,ALICANTE airport
895,domestic,EL_LGAV_EL_LGKO,248379,ATHINAI/ELEFTHERIOS VENIZELOS airport - KOS/IPPOKRATIS airport,EL_LGAV,EL,LGAV,ATHINAI/ELEFTHERIOS VENIZELOS airport,EL_LGKO,EL,LGKO,KOS/IPPOKRATIS airport
896,international,SE_ESGG_UK_EGLL,247368,GOTEBORG/LANDVETTER airport - LONDON HEATHROW airport,SE_ESGG,SE,ESGG,GOTEBORG/LANDVETTER airport,UK_EGLL,UK,EGLL,LONDON HEATHROW airport
897,international,FR_LFLL_UK_EGKK,246842,LYON SAINT-EXUPERY airport - LONDON GATWICK airport,FR_LFLL,FR,LFLL,LYON SAINT-EXUPERY airport,UK_EGKK,UK,EGKK,LONDON GATWICK airport
898,international,DE_EDDB_IT_LIRA,246817,BERLIN-BRANDENBURG airport - ROMA/CIAMPINO airport,DE_EDDB,DE,EDDB,BERLIN-BRANDENBURG airport,IT_LIRA,IT,LIRA,ROMA/CIAMPINO airport
899,domestic,HR_LDDU_HR_LDZA,246808,DUBROVNIK/CILIPI airport - ZAGREB/FRANJO TUDJMAN airport,HR_LDDU,HR,LDDU,DUBROVNIK/CILIPI airport,HR_LDZA,HR,LDZA,ZAGREB/FRANJO TUDJMAN airport
900,international,IT_LIMC_UK_EGSS,246668,MILANO/MALPENSA airport - LONDON STANSTED airport,IT_LIMC,IT,LIMC,MILANO/MALPENSA airport,UK_EGSS,UK,EGSS,LONDON STANSTED airport
901,international,CZ_LKPR_PL_EPWA,246398,PRAHA/RUZYNE airport - WARSZAWA/CHOPINA airport,CZ_LKPR,CZ,LKPR,PRAHA/RUZYNE airport,PL_EPWA,PL,EPWA,WARSZAWA/CHOPINA airport
902,international,ES_LEAL_UK_EGAA,246375,ALICANTE airport - BELFAST/ALDERGROVE airport,ES_LEAL,ES,LEAL,ALICANTE airport,UK_EGAA,UK,EGAA,BELFAST/ALDERGROVE airport
903,international,ES_GCTS_IE_EIDW,245834,TENERIFE SUR/REINA SOFIA airport - DUBLIN airport,ES_GCTS,ES,GCTS,TENERIFE SUR/REINA SOFIA airport,IE_EIDW,IE,EIDW,DUBLIN airport
904,international,CH_LSZH_ES_LEVC,245683,ZURICH airport - VALENCIA airport,CH_LSZH,CH,LSZH,ZURICH airport,ES_LEVC,ES,LEVC,VALENCIA airport
905,domestic,NO_ENDU_NO_ENGM,245662,BARDUFOSS airport - OSLO/GARDERMOEN airport,NO_ENDU,NO,ENDU,BARDUFOSS airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport
906,domestic,UK_EGGW_UK_EGPF,245492,LONDON LUTON airport - GLASGOW airport,UK_EGGW,UK,EGGW,LONDON LUTON airport,UK_EGPF,UK,EGPF,GLASGOW airport
907,international,FR_LFBD_PT_LPPT,245459,BORDEAUX-MERIGNAC airport - LISBOA airport,FR_LFBD,FR,LFBD,BORDEAUX-MERIGNAC airport,PT_LPPT,PT,LPPT,LISBOA airport
908,international,ES_GCTS_UK_EGPH,245428,TENERIFE SUR/REINA SOFIA airport - EDINBURGH airport,ES_GCTS,ES,GCTS,TENERIFE SUR/REINA SOFIA airport,UK_EGPH,UK,EGPH,EDINBURGH airport
909,international,ES_GCFV_UK_EGCC,245274,FUERTEVENTURA airport - MANCHESTER airport,ES_GCFV,ES,GCFV,FUERTEVENTURA airport,UK_EGCC,UK,EGCC,MANCHESTER airport
910,international,DE_EDDM_TR_LTBJ,245199,MUENCHEN airport - IZMIR/ADNAN MENDERES airport,DE_EDDM,DE,EDDM,MUENCHEN airport,TR_LTBJ,TR,LTBJ,IZMIR/ADNAN MENDERES airport
911,international,CY_LCLK_EL_LGTS,245173,LARNAKA/INTL airport - THESSALONIKI/MAKEDONIA airport,CY_LCLK,CY,LCLK,LARNAKA/INTL airport,EL_LGTS,EL,LGTS,THESSALONIKI/MAKEDONIA airport
912,international,BE_EBBR_UK_EGCC,245030,BRUSSELS airport - MANCHESTER airport,BE_EBBR,BE,EBBR,BRUSSELS airport,UK_EGCC,UK,EGCC,MANCHESTER airport
913,international,ES_LEMD_FR_LFML,245027,ADOLFO SUAREZ MADRID-BARAJAS airport - MARSEILLE-PROVENCE airport,ES_LEMD,ES,LEMD,ADOLFO SUAREZ MADRID-BARAJAS airport,FR_LFML,FR,LFML,MARSEILLE-PROVENCE airport
914,international,EL_LGAV_UK_EGGW,244215,ATHINAI/ELEFTHERIOS VENIZELOS airport - LONDON LUTON airport,EL_LGAV,EL,LGAV,ATHINAI/ELEFTHERIOS VENIZELOS airport,UK_EGGW,UK,EGGW,LONDON LUTON airport
915,domestic,TR_LTDA_TR_LTFM,244083,HATAY (CIV) airport - ISTANBUL/ISTANBUL HAVALIMANI airport,TR_LTDA,TR,LTDA,HATAY (CIV) airport,TR_LTFM,TR,LTFM,ISTANBUL/ISTANBUL HAVALIMANI airport
916,international,CY_LCLK_UK_EGKK,244077,LARNAKA/INTL airport - LONDON GATWICK airport,CY_LCLK,CY,LCLK,LARNAKA/INTL airport,UK_EGKK,UK,EGKK,LONDON GATWICK airport
917,domestic,ES_LEBB_ES_LEPA,243307,BILBAO airport - PALMA DE MALLORCA airport,ES_LEBB,ES,LEBB,BILBAO airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport
918,international,HU_LHBP_IT_LIMC,243221,BUDAPEST/LISZT FERENC INTERNATIONAL airport - MILANO/MALPENSA airport,HU_LHBP,HU,LHBP,BUDAPEST/LISZT FERENC INTERNATIONAL airport,IT_LIMC,IT,LIMC,MILANO/MALPENSA airport
919,international,DE_EDDM_SE_ESGG,242653,MUENCHEN airport - GOTEBORG/LANDVETTER airport,DE_EDDM,DE,EDDM,MUENCHEN airport,SE_ESGG,SE,ESGG,GOTEBORG/LANDVETTER airport
920,domestic,TR_LTCF_TR_LTFJ,242525,KARS/HARAKANI airport - ISTANBUL/SABIHA GOKCEN airport,TR_LTCF,TR,LTCF,KARS/HARAKANI airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
921,international,EL_LGAV_TR_LTBA,242481,ATHINAI/ELEFTHERIOS VENIZELOS airport - ISTANBUL/ATATURK airport,EL_LGAV,EL,LGAV,ATHINAI/ELEFTHERIOS VENIZELOS airport,TR_LTBA,TR,LTBA,ISTANBUL/ATATURK airport
922,international,DE_EDDB_TR_LTFJ,242309,BERLIN-BRANDENBURG airport - ISTANBUL/SABIHA GOKCEN airport,DE_EDDB,DE,EDDB,BERLIN-BRANDENBURG airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
923,international,ES_LEBB_NL_EHAM,242170,BILBAO airport - AMSTERDAM/SCHIPHOL airport,ES_LEBB,ES,LEBB,BILBAO airport,NL_EHAM,NL,EHAM,AMSTERDAM/SCHIPHOL airport
924,international,IS_BIKF_UK_EGKK,241672,KEFLAVIK airport - LONDON GATWICK airport,IS_BIKF,IS,BIKF,KEFLAVIK airport,UK_EGKK,UK,EGKK,LONDON GATWICK airport
925,international,BE_EBCI_IT_LIME,241235,CHARLEROI/BRUSSELS SOUTH airport - BERGAMO/ORIO AL SERIO airport,BE_EBCI,BE,EBCI,CHARLEROI/BRUSSELS SOUTH airport,IT_LIME,IT,LIME,BERGAMO/ORIO AL SERIO airport
926,international,ES_LEPA_UK_EGNM,241171,PALMA DE MALLORCA airport - LEEDS BRADFORD airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport,UK_EGNM,UK,EGNM,LEEDS BRADFORD airport
927,international,ES_LEBL_UK_EGBB,240710,BARCELONA/EL PRAT airport - BIRMINGHAM airport,ES_LEBL,ES,LEBL,BARCELONA/EL PRAT airport,UK_EGBB,UK,EGBB,BIRMINGHAM airport
928,international,DE_EDDB_IT_LIME,240619,BERLIN-BRANDENBURG airport - BERGAMO/ORIO AL SERIO airport,DE_EDDB,DE,EDDB,BERLIN-BRANDENBURG airport,IT_LIME,IT,LIME,BERGAMO/ORIO AL SERIO airport
929,international,ES_LEZL_UK_EGKK,240286,SEVILLA airport - LONDON GATWICK airport,ES_LEZL,ES,LEZL,SEVILLA airport,UK_EGKK,UK,EGKK,LONDON GATWICK airport
930,international,EL_LGIR_NL_EHAM,240280,IRAKLION/NIKOS KAZANTZAKIS airport - AMSTERDAM/SCHIPHOL airport,EL_LGIR,EL,LGIR,IRAKLION/NIKOS KAZANTZAKIS airport,NL_EHAM,NL,EHAM,AMSTERDAM/SCHIPHOL airport
931,international,FR_LFRS_PT_LPPT,239930,"NANTES ATLANTIQUE airport - LISBOA airport",FR_LFRS,FR,LFRS,"NANTES ATLANTIQUE airport",PT_LPPT,PT,LPPT,LISBOA airport
932,international,DE_EDDF_ES_GCLP,239890,FRANKFURT/MAIN airport - GRAN CANARIA airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,ES_GCLP,ES,GCLP,GRAN CANARIA airport
933,international,NL_EHAM_UK_EGGP,239764,AMSTERDAM/SCHIPHOL airport - LIVERPOOL airport,NL_EHAM,NL,EHAM,AMSTERDAM/SCHIPHOL airport,UK_EGGP,UK,EGGP,LIVERPOOL airport
934,international,CH_LSZH_IT_LIPZ,239723,ZURICH airport - VENEZIA/TESSERA airport,CH_LSZH,CH,LSZH,ZURICH airport,IT_LIPZ,IT,LIPZ,VENEZIA/TESSERA airport
935,international,CY_LCPH_UK_EGSS,239342,PAFOS/INTL airport - LONDON STANSTED airport,CY_LCPH,CY,LCPH,PAFOS/INTL airport,UK_EGSS,UK,EGSS,LONDON STANSTED airport
936,domestic,IT_LICC_IT_LIRP,239339,CATANIA/FONTANAROSSA airport - PISA/S. GIUSTO airport,IT_LICC,IT,LICC,CATANIA/FONTANAROSSA airport,IT_LIRP,IT,LIRP,PISA/S. GIUSTO airport
937,domestic,FR_LFMP_FR_LFPO,239220,PERPIGNAN RIVESALTES airport - PARIS-ORLY airport,FR_LFMP,FR,LFMP,PERPIGNAN RIVESALTES airport,FR_LFPO,FR,LFPO,PARIS-ORLY airport
938,international,ME_LYTV_RS_LYBE,239213,TIVAT airport - BEOGRAD/NIKOLA TESLA airport,ME_LYTV,ME,LYTV,TIVAT airport,RS_LYBE,RS,LYBE,BEOGRAD/NIKOLA TESLA airport
939,international,DE_EDDM_IT_LIPZ,239201,MUENCHEN airport - VENEZIA/TESSERA airport,DE_EDDM,DE,EDDM,MUENCHEN airport,IT_LIPZ,IT,LIPZ,VENEZIA/TESSERA airport
940,international,DE_EDDM_HR_LDZA,238801,MUENCHEN airport - ZAGREB/FRANJO TUDJMAN airport,DE_EDDM,DE,EDDM,MUENCHEN airport,HR_LDZA,HR,LDZA,ZAGREB/FRANJO TUDJMAN airport
941,domestic,ES_GCLP_ES_LEZL,238389,GRAN CANARIA airport - SEVILLA airport,ES_GCLP,ES,GCLP,GRAN CANARIA airport,ES_LEZL,ES,LEZL,SEVILLA airport
942,international,FR_LFBO_PT_LPPT,238228,TOULOUSE/BLAGNAC airport - LISBOA airport,FR_LFBO,FR,LFBO,TOULOUSE/BLAGNAC airport,PT_LPPT,PT,LPPT,LISBOA airport
943,international,ES_LEMH_UK_EGKK,238220,MENORCA airport - LONDON GATWICK airport,ES_LEMH,ES,LEMH,MENORCA airport,UK_EGKK,UK,EGKK,LONDON GATWICK airport
944,international,DE_EDDM_TR_LTFJ,237862,MUENCHEN airport - ISTANBUL/SABIHA GOKCEN airport,DE_EDDM,DE,EDDM,MUENCHEN airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
945,international,MT_LMML_UK_EGCC,237843,LUQA airport - MANCHESTER airport,MT_LMML,MT,LMML,LUQA airport,UK_EGCC,UK,EGCC,MANCHESTER airport
946,international,AT_LOWG_DE_EDDF,237532,GRAZ airport - FRANKFURT/MAIN airport,AT_LOWG,AT,LOWG,GRAZ airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport
947,international,FR_LFML_PT_LPPT,237421,MARSEILLE-PROVENCE airport - LISBOA airport,FR_LFML,FR,LFML,MARSEILLE-PROVENCE airport,PT_LPPT,PT,LPPT,LISBOA airport
948,international,HR_LDDU_UK_EGKK,237342,DUBROVNIK/CILIPI airport - LONDON GATWICK airport,HR_LDDU,HR,LDDU,DUBROVNIK/CILIPI airport,UK_EGKK,UK,EGKK,LONDON GATWICK airport
949,domestic,IT_LICJ_IT_LIRN,237276,PALERMO/PUNTA RAISI airport - NAPOLI/CAPODICHINO airport,IT_LICJ,IT,LICJ,PALERMO/PUNTA RAISI airport,IT_LIRN,IT,LIRN,"NAPOLI/CAPODICHINO airport"
950,international,IT_LIRF_TR_LTFJ,237188,ROMA/FIUMICINO airport - ISTANBUL/SABIHA GOKCEN airport,IT_LIRF,IT,LIRF,ROMA/FIUMICINO airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
951,international,FI_EFHK_SE_ESGG,236844,HELSINKI/VANTAA airport - GOTEBORG/LANDVETTER airport,FI_EFHK,FI,EFHK,HELSINKI/VANTAA airport,SE_ESGG,SE,ESGG,GOTEBORG/LANDVETTER airport
952,international,NL_EHEH_PT_LPFR,236773,EINDHOVEN airport - FARO airport,NL_EHEH,NL,EHEH,EINDHOVEN airport,PT_LPFR,PT,LPFR,FARO airport
953,international,FR_LFPG_TR_LTBA,236310,PARIS-CHARLES DE GAULLE airport - ISTANBUL/ATATURK airport,FR_LFPG,FR,LFPG,PARIS-CHARLES DE GAULLE airport,TR_LTBA,TR,LTBA,ISTANBUL/ATATURK airport
954,international,BG_LBSF_EL_LGAV,236253,SOFIA airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,BG_LBSF,BG,LBSF,SOFIA airport,EL_LGAV,EL,LGAV,ATHINAI/ELEFTHERIOS VENIZELOS airport
955,domestic,TR_LTCS_TR_LTFJ,236081,SANLIURFA/GAP airport - ISTANBUL/SABIHA GOKCEN airport,TR_LTCS,TR,LTCS,SANLIURFA/GAP airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
956,domestic,EL_LGAL_EL_LGAV,236026,ALEXANDROUPOLIS/DIMOKRITOS airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,EL_LGAL,EL,LGAL,ALEXANDROUPOLIS/DIMOKRITOS airport,EL_LGAV,EL,LGAV,ATHINAI/ELEFTHERIOS VENIZELOS airport
957,international,FR_LFPO_TR_LTFJ,235897,PARIS-ORLY airport - ISTANBUL/SABIHA GOKCEN airport,FR_LFPO,FR,LFPO,PARIS-ORLY airport,TR_LTFJ,TR,LTFJ,ISTANBUL/SABIHA GOKCEN airport
958,international,ES_LEPA_UK_EGGW,235655,PALMA DE MALLORCA airport - LONDON LUTON airport,ES_LEPA,ES,LEPA,PALMA DE MALLORCA airport,UK_EGGW,UK,EGGW,LONDON LUTON airport
959,international,DE_EDDM_FR_LFLL,235592,MUENCHEN airport - LYON SAINT-EXUPERY airport,DE_EDDM,DE,EDDM,MUENCHEN airport,FR_LFLL,FR,LFLL,LYON SAINT-EXUPERY airport
960,international,DE_EDDH_PT_LPPT,235480,HAMBURG airport - LISBOA airport,DE_EDDH,DE,EDDH,HAMBURG airport,PT_LPPT,PT,LPPT,LISBOA airport
961,international,CH_LSZH_HU_LHBP,235222,ZURICH airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,CH_LSZH,CH,LSZH,ZURICH airport,HU_LHBP,HU,LHBP,BUDAPEST/LISZT FERENC INTERNATIONAL airport
962,international,FR_LFLL_IT_LIRF,235159,LYON SAINT-EXUPERY airport - ROMA/FIUMICINO airport,FR_LFLL,FR,LFLL,LYON SAINT-EXUPERY airport,IT_LIRF,IT,LIRF,ROMA/FIUMICINO airport
963,international,LT_EYKA_UK_EGGW,235013,KAUNAS INTL airport - LONDON LUTON airport,LT_EYKA,LT,EYKA,KAUNAS INTL airport,UK_EGGW,UK,EGGW,LONDON LUTON airport
964,international,CY_LCLK_UK_EGLL,234666,LARNAKA/INTL airport - LONDON HEATHROW airport,CY_LCLK,CY,LCLK,LARNAKA/INTL airport,UK_EGLL,UK,EGLL,LONDON HEATHROW airport
965,international,DE_EDDF_ES_LEBB,234655,FRANKFURT/MAIN airport - BILBAO airport,DE_EDDF,DE,EDDF,FRANKFURT/MAIN airport,ES_LEBB,ES,LEBB,BILBAO airport
966,international,DE_EDDM_EL_LGIR,234525,MUENCHEN airport - IRAKLION/NIKOS KAZANTZAKIS airport,DE_EDDM,DE,EDDM,MUENCHEN airport,EL_LGIR,EL,LGIR,IRAKLION/NIKOS KAZANTZAKIS airport
967,domestic,FR_LFBO_FR_LFQQ,234307,TOULOUSE/BLAGNAC airport - LILLE-LESQUIN airport,FR_LFBO,FR,LFBO,TOULOUSE/BLAGNAC airport,FR_LFQQ,FR,LFQQ,LILLE-LESQUIN airport
968,international,NO_ENGM_PL_EPGD,234103,OSLO/GARDERMOEN airport - GDANSK IM LECHA WALESY airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport,PL_EPGD,PL,EPGD,GDANSK IM LECHA WALESY airport
969,international,DK_EKYT_NL_EHAM,234019,AALBORG airport - AMSTERDAM/SCHIPHOL airport,DK_EKYT,DK,EKYT,AALBORG airport,NL_EHAM,NL,EHAM,AMSTERDAM/SCHIPHOL airport
970,international,DE_EDDL_IE_EIDW,233827,DUESSELDORF airport - DUBLIN airport,DE_EDDL,DE,EDDL,DUESSELDORF airport,IE_EIDW,IE,EIDW,DUBLIN airport
971,domestic,DE_EDDG_DE_EDDM,233718,MUENSTER/OSNABRUECK airport - MUENCHEN airport,DE_EDDG,DE,EDDG,MUENSTER/OSNABRUECK airport,DE_EDDM,DE,EDDM,MUENCHEN airport
972,international,LT_EYVI_PL_EPWA,233666,VILNIUS INTL airport - WARSZAWA/CHOPINA airport,LT_EYVI,LT,EYVI,VILNIUS INTL airport,PL_EPWA,PL,EPWA,WARSZAWA/CHOPINA airport
973,international,ES_LEMD_IT_LIRN,233652,ADOLFO SUAREZ MADRID-BARAJAS airport - NAPOLI/CAPODICHINO airport,ES_LEMD,ES,LEMD,ADOLFO SUAREZ MADRID-BARAJAS airport,IT_LIRN,IT,LIRN,"NAPOLI/CAPODICHINO airport"
