unit,tra_meas,airp_pr,time,values,source
PAS,PAS_CRD_DEP,BE_EBBR_PL_EPWA,2019,161045,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_PT_LPFR,2019,47375,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_PT_LPPR,2019,174007,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_PT_LPPT,2019,384026,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_QA_OTHH,2019,84591,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_RO_LROP,2019,88452,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_RU_UUEE,2019,143595,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_RW_HRYR,2019,78379,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_SE_ESGG,2019,101333,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_SE_ESSA,2019,78045,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_SE_ESSB,2019,107540,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_TH_VTBS,2019,74037,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_TN_DTTJ,2019,36267,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_TR_LTAI,2019,182512,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_TR_LTBA,2019,48357,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_TR_LTBJ,2019,42991,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_TR_LTFE,2019,45431,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_UA_UKBB,2019,78116,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_UG_HUEN,2019,114,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_UK_EGBB,2019,67175,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_UK_EGCC,2019,128718,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_UK_EGLL,2019,344062,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_UK_EGPH,2019,73963,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_US_KATL,2019,47232,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_US_KEWR,2019,98912,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_US_KIAD,2019,120754,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_US_KJFK,2019,150988,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_US_KORD,2019,70697,avia_par_be
PAS,PAS_CRD_DEP,BE_EBBR_ZZ_ZZZZ,2019,244936,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_BG_LBSF,2019,84823,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_CZ_LKPR,2019,77685,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_DK_EKCH,2019,57922,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_EL_LGAV,2019,60192,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_EL_LGTS,2019,45345,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_GCTS,2019,67306,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_LEAL,2019,99837,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_LEBL,2019,61067,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_LEGE,2019,40155,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_LEMD,2019,52986,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_LEMG,2019,72228,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_ES_LEZL,2019,63156,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_FR_LFBD,2019,41777,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_FR_LFBO,2019,58324,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_FR_LFMK,2019,51289,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_FR_LFML,2019,77701,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_FR_LFTW,2019,46711,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_HU_LHBP,2019,167840,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIBD,2019,37298,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIME,2019,120288,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIPE,2019,66541,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIPH,2019,86992,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIRA,2019,90240,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIRN,2019,48749,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_IT_LIRP,2019,77926,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMFF,2019,40860,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMFO,2019,40547,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMME,2019,41785,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMMN,2019,39603,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMMW,2019,47145,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMMX,2019,40586,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MA_GMTT,2019,49017,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_MT_LMML,2019,60796,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_PL_EPKK,2019,54082,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_PL_EPMO,2019,88714,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_PL_EPWA,2019,68245,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_PT_LPFR,2019,45938,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_PT_LPPR,2019,60947,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_PT_LPPT,2019,67561,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_RO_LRCL,2019,37663,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_RO_LROP,2019,136272,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_TR_LTFJ,2019,106505,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_UK_EGCC,2019,90323,avia_par_be
PAS,PAS_CRD_DEP,BE_EBCI_UK_EGPH,2019,41472,avia_par_be
PAS,PAS_CRD_DEP,BE_EBLG_ES_GCLP,2019,393,avia_par_be
PAS,PAS_CRD_DEP,BE_EBLG_ES_GCTS,2019,17156,avia_par_be
PAS,PAS_CRD_DEP,BE_EBLG_ES_LEAL,2019,14753,avia_par_be
PAS,PAS_CRD_DEP,BE_EBLG_ES_LEMG,2019,7921,avia_par_be
PAS,PAS_CRD_DEP,BE_EBLG_TR_LTAU,2019,11822,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_EG_HEGN,2019,543,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_EG_HESH,2019,16140,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_ES_GCLP,2019,8199,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_ES_GCTS,2019,26558,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_ES_LEAL,2019,41531,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_ES_LEMG,2019,37844,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_ES_LEPA,2019,14873,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_TR_LTAI,2019,8476,avia_par_be
PAS,PAS_CRD_DEP,BE_EBOS_TR_LTBY,2019,13061,avia_par_be
PAS,PAS_CRD_DEP,BG_LBBG_BE_EBBR,2019,22752,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_BY_UMMS,2019,22921,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_CZ_LKPR,2019,79473,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_CZ_LKTB,2019,26185,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_DE_EDDL,2019,22297,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_DE_EDDP,2019,21997,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_FI_EFHK,2019,21919,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_IE_EIDW,2019,25672,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_IL_LLBG,2019,67781,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_NO_ENGM,2019,20258,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_PL_EPKT,2019,61144,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_PL_EPPO,2019,22645,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_PL_EPWA,2019,46842,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_RU_ULLI,2019,43038,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_RU_UUDD,2019,114761,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_RU_UUEE,2019,46670,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_RU_UUWW,2019,32504,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_SK_LZIB,2019,22275,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_UK_EGBB,2019,29041,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_UK_EGCC,2019,51490,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_UK_EGGW,2019,47830,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBBG_UK_EGKK,2019,24488,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_AT_LOWW,2019,173102,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_BE_EBCI,2019,85431,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_BG_LBWN,2019,132069,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_CY_LCLK,2019,50693,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_DE_EDDB,2019,56250,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_DE_EDDF,2019,235177,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_DE_EDDM,2019,129871,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_DE_EDJA,2019,48020,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_DE_EDLW,2019,58468,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_EL_LGAV,2019,116859,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_ES_LEBL,2019,87187,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_ES_LEMD,2019,90919,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_FR_LFOB,2019,40670,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_FR_LFPG,2019,62513,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_IL_LLBG,2019,136505,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_IT_LIME,2019,109235,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_IT_LIRA,2019,48671,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_IT_LIRF,2019,64307,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_NL_EHAM,2019,69736,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_NL_EHEH,2019,70892,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_PL_EPWA,2019,53768,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_QA_OTHH,2019,46908,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_RU_UUEE,2019,61790,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_TR_LTFM,2019,80685,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_UK_EGGW,2019,165184,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_UK_EGKK,2019,65017,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_UK_EGLL,2019,92401,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBSF_UK_EGSS,2019,136730,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_AT_LOWW,2019,63186,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_BE_EBBR,2019,10346,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_BG_LBSF,2019,127597,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_CY_LCLK,2019,16225,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_CZ_LKPR,2019,24647,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDB,2019,25969,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDF,2019,19872,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDH,2019,24814,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDK,2019,27148,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDL,2019,31932,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDM,2019,11970,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDP,2019,25749,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDS,2019,17531,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDDV,2019,22965,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDJA,2019,19643,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_DE_EDLW,2019,17918,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_EE_EETN,2019,10416,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_FI_EFHK,2019,10937,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_IL_LLBG,2019,47621,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_IT_LIME,2019,12058,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_NL_EHEH,2019,17977,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_PL_EPKT,2019,26997,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_PL_EPPO,2019,15500,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_PL_EPWA,2019,18070,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_PL_EPWR,2019,14010,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_RU_UUDD,2019,60957,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_RU_UUWW,2019,12282,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_TR_LTFM,2019,32271,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_UK_EGCC,2019,10761,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_UK_EGGW,2019,62767,avia_par_bg
PAS,PAS_CRD_DEP,BG_LBWN_UK_EGKK,2019,12236,avia_par_bg
PAS,PAS_CRD_DEP,CZ_LKMT_BG_LB99,2019,22299,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKMT_EG_HE99,2019,16730,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKMT_EL_LG99,2019,34972,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKMT_TR_LT99,2019,28680,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKMT_UK_EG99,2019,27364,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPD_BG_LB99,2019,7821,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPD_ES_LE99,2019,10602,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPD_RU_UL99,2019,10218,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPD_UK_EG99,2019,11930,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_AE_OM99,2019,261213,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_AT_LO99,2019,89574,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_BE_EB99,2019,243069,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_BG_LB99,2019,126602,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_CH_LS99,2019,169905,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_CN_ZB99,2019,100724,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_DE_ED99,2019,572722,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_DK_EK99,2019,192877,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_EG_HE99,2019,228939,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_EL_LG99,2019,365412,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_ES_GC99,2019,48623,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_ES_LE99,2019,566037,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_FI_EF99,2019,153529,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_FR_LF99,2019,621420,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_HR_LD99,2019,61798,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_HU_LH99,2019,118185,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_IE_EI99,2019,104854,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_IL_LL99,2019,198865,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_IT_LI99,2019,731853,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_KR_RK99,2019,96907,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_LV_EV99,2019,54660,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_NL_EH99,2019,448881,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_NO_EN99,2019,81318,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_PL_EP99,2019,139018,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_PT_LP99,2019,86430,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_QA_OT99,2019,100666,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_RO_LR99,2019,48865,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_RU_UL99,2019,92865,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_RU_US99,2019,37621,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_RU_UU99,2019,421764,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_SE_ES99,2019,152632,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_TN_DT99,2019,89696,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_TR_LT99,2019,380981,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_UA_UK99,2019,133624,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_UK_EG99,2019,1086902,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKPR_US_K999,2019,98123,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_BG_LB99,2019,29986,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_DE_ED99,2019,12195,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_EG_HE99,2019,24898,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_EL_LG99,2019,55668,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_IT_LI99,2019,18479,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_TN_DT99,2019,13828,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_TR_LT99,2019,34215,avia_par_cz
PAS,PAS_CRD_DEP,CZ_LKTB_UK_EG99,2019,56058,avia_par_cz
PAS,PAS_CRD_DEP,DK_EKAH_DK_EKCH,2019,89991,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKAH_NO_ENGM,2019,22913,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKAH_PL_EPGD,2019,15140,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKAH_SE_ESSA,2019,11581,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKAH_UK_EGSS,2019,51389,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_BE_EBBR,2019,55236,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_DE_EDDB,2019,22275,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_DE_EDDF,2019,142941,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_DK_EKCH,2019,54002,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_DK_EKVG,2019,20940,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_EL_LGRP,2019,28890,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_EL_LGSA,2019,43821,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_ES_GCLP,2019,40345,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_ES_GCTS,2019,26324,avia_par_dk
PAS,PAS_CRD_DEP,DK_EKBI_ES_LEAL,2019,28306,avia_par_dk
